Name,Cluster_Name,Cluster
Aaron Brooks,PnR/Ball handling Guards,1
Aaron Gordon,Stretch 4s,3
Al Horford,Stretch 4s,3
Al Jefferson,Post-Up Bigs,5
Al-Farouq Aminu,Perimeter Wings,6
Alan Anderson,Perimeter Wings,6
Alec Burks,PnR/Ball handling Guards,1
Alex Len,Post-Up Bigs,5
Alex Stepheson,Rolling Bigs,2
Alexis Ajinca,Rolling Bigs,2
Allen Crabbe,Perimeter Wings,6
Alonzo Gee,Perimeter Wings,6
Amar'e Stoudemire,Rolling Bigs,2
Amir Johnson,Rolling Bigs,2
Anderson Varejao,Stretch 4s,3
Andre Drummond,Post-Up Bigs,5
Andre Iguodala,Perimeter Wings,6
Andre Miller,PnR/Ball handling Guards,1
Andre Roberson,Perimeter Wings,6
Andrea Bargnani,Stretch 4s,3
Andrew Bogut,Rolling Bigs,2
Andrew Nicholson,Post-Up Bigs,5
Andrew Wiggins,Versatile Wings,0
Anthony Brown,Perimeter Wings,6
Anthony Davis,Post-Up Bigs,5
Anthony Morrow,Perimeter Wings,6
Anthony Tolliver,Perimeter Wings,6
Archie Goodwin,C&S Guards,4
Aron Baynes,Rolling Bigs,2
Arron Afflalo,Versatile Wings,0
Austin Rivers,PnR/Ball handling Guards,1
Avery Bradley,C&S Guards,4
Axel Toupane,Perimeter Wings,6
Ben McLemore,Perimeter Wings,6
Beno Udrih,PnR/Ball handling Guards,1
Bismack Biyombo,Rolling Bigs,2
Blake Griffin,Post-Up Bigs,5
Bobby Portis,Stretch 4s,3
Bojan Bogdanovic,Perimeter Wings,6
Boris Diaw,Post-Up Bigs,5
Bradley Beal,PnR/Ball handling Guards,1
Brandan Wright,Rolling Bigs,2
Brandon Bass,Rolling Bigs,2
Brandon Jennings,PnR/Ball handling Guards,1
Brandon Knight,PnR/Ball handling Guards,1
Brandon Rush,Perimeter Wings,6
Brian Roberts,PnR/Ball handling Guards,1
Briante Weber,PnR/Ball handling Guards,1
